,Position,Track Name,Artist,Streams,URL,TrackID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
0,1,Havana,Camila Cabello,30948101,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W,1rfofaqEpACxVEHIZBJe6W,0.765,0.523,2,-4.333,1,0.03,0.184,3.5600000000000005e-05,0.132,0.39399999999999996,104.988,audio_features,spotify:track:1rfofaqEpACxVEHIZBJe6W,https://api.spotify.com/v1/tracks/1rfofaqEpACxVEHIZBJe6W,https://api.spotify.com/v1/audio-analysis/1rfofaqEpACxVEHIZBJe6W,217307,4
1,2,rockstar,Post Malone,27643632,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx,7wGoVu4Dady5GV0Sv4UIsx,0.5770000000000001,0.522,5,-6.593999999999999,0,0.0984,0.13,9.03e-05,0.142,0.11900000000000001,159.77200000000002,audio_features,spotify:track:7wGoVu4Dady5GV0Sv4UIsx,https://api.spotify.com/v1/tracks/7wGoVu4Dady5GV0Sv4UIsx,https://api.spotify.com/v1/audio-analysis/7wGoVu4Dady5GV0Sv4UIsx,218320,4
2,3,River (feat. Ed Sheeran),Eminem,22610091,https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD,5UEnHoDYpsxlfzWLZIc7LD,0.757,0.748,8,-5.794,0,0.473,0.17,0.0,0.0759,0.693,90.052,audio_features,spotify:track:5UEnHoDYpsxlfzWLZIc7LD,https://api.spotify.com/v1/tracks/5UEnHoDYpsxlfzWLZIc7LD,https://api.spotify.com/v1/audio-analysis/5UEnHoDYpsxlfzWLZIc7LD,221013,4
3,4,Never Be the Same,Camila Cabello,22147865,https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ,4eWQlBRaTjPPUlzacqEeoQ,0.637,0.713,0,-4.333,1,0.0747,0.18100000000000002,0.000637,0.13699999999999998,0.243,129.923,audio_features,spotify:track:4eWQlBRaTjPPUlzacqEeoQ,https://api.spotify.com/v1/tracks/4eWQlBRaTjPPUlzacqEeoQ,https://api.spotify.com/v1/audio-analysis/4eWQlBRaTjPPUlzacqEeoQ,226973,4
4,5,Finesse (Remix) [feat. Cardi B],Bruno Mars,20387864,https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i,3Vo4wInECJQuz9BIBMOu8i,0.7040000000000001,0.8590000000000001,5,-4.877,0,0.0996,0.0185,0.0,0.0215,0.9259999999999999,105.115,audio_features,spotify:track:3Vo4wInECJQuz9BIBMOu8i,https://api.spotify.com/v1/tracks/3Vo4wInECJQuz9BIBMOu8i,https://api.spotify.com/v1/audio-analysis/3Vo4wInECJQuz9BIBMOu8i,217289,4
5,6,Wolves,Selena Gomez,19988924,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC,7EmGUiUaOSGDnUUQUDrOXC,0.715,0.802,11,-4.647,0,0.0394,0.139,0.0,0.177,0.327,124.98899999999999,audio_features,spotify:track:7EmGUiUaOSGDnUUQUDrOXC,https://api.spotify.com/v1/tracks/7EmGUiUaOSGDnUUQUDrOXC,https://api.spotify.com/v1/audio-analysis/7EmGUiUaOSGDnUUQUDrOXC,197993,4
6,7,New Rules,Dua Lipa,18995153,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0,2ekn2ttSfGqwhhate0LSR0,0.7709999999999999,0.696,9,-6.257999999999999,0,0.0755,0.00256,9.71e-06,0.179,0.6559999999999999,116.054,audio_features,spotify:track:2ekn2ttSfGqwhhate0LSR0,https://api.spotify.com/v1/tracks/2ekn2ttSfGqwhhate0LSR0,https://api.spotify.com/v1/audio-analysis/2ekn2ttSfGqwhhate0LSR0,208827,4
7,8,Échame La Culpa,Luis Fonsi,18805967,https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK,1zsG4eaZmkA1dvjDDsAGLK,0.7240000000000001,0.895,7,-3.617,1,0.0411,0.0322,0.0,0.097,0.64,96.022,audio_features,spotify:track:1zsG4eaZmkA1dvjDDsAGLK,https://api.spotify.com/v1/tracks/1zsG4eaZmkA1dvjDDsAGLK,https://api.spotify.com/v1/audio-analysis/1zsG4eaZmkA1dvjDDsAGLK,173720,4
8,9,Him & I (with Halsey),G-Eazy,18382651,https://open.spotify.com/track/5k38wzpLb15YgncyWdTZE4,5k38wzpLb15YgncyWdTZE4,0.589,0.731,2,-6.343,1,0.0868,0.0534,0.0,0.308,0.191,87.90799999999999,audio_features,spotify:track:5k38wzpLb15YgncyWdTZE4,https://api.spotify.com/v1/tracks/5k38wzpLb15YgncyWdTZE4,https://api.spotify.com/v1/audio-analysis/5k38wzpLb15YgncyWdTZE4,268867,4
9,10,Let You Down,NF,18001200,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,6mrKP2jyIQmM0rw6fQryjr,0.659,0.716,5,-5.672999999999999,0,0.111,0.33,0.0,0.17300000000000001,0.43700000000000006,148.015,audio_features,spotify:track:6mrKP2jyIQmM0rw6fQryjr,https://api.spotify.com/v1/tracks/6mrKP2jyIQmM0rw6fQryjr,https://api.spotify.com/v1/audio-analysis/6mrKP2jyIQmM0rw6fQryjr,212120,4
