subject,age,gender,condition,phase,trial,stimulus,congruency,rt,correct,
1,20,m,1,practice,0,XXXXX,baseline,200,0,
1,20,m,1,practice,1,RED,incongruent,1288,0,
1,20,m,1,practice,2,XXXXX,baseline,1070,1,
1,20,m,1,practice,3,BLUE,incongruent,1250,0,
1,20,m,1,practice,4,BLUE,congruent,705,1,
1,20,m,1,practice,5,XXXX,baseline,690,1,
1,20,m,1,practice,6,XXXXX,baseline,633,1,
1,20,m,1,practice,7,XXXXX,baseline,718,1,
1,20,m,1,practice,8,BLUE,incongruent,244,999,
1,20,m,1,practice,9,RED,incongruent,1030,0,
1,20,m,1,practice,10,GREEN,congruent,829,1,
1,20,m,1,practice,11,GREEN,incongruent,700,1,
1,20,m,1,practice,12,GREEN,congruent,774,1,
1,20,m,1,practice,13,XXXXX,baseline,533,0,
1,20,m,1,practice,14,XXX,baseline,1146,1,
1,20,m,1,practice,15,BLUE,incongruent,855,1,
1,20,m,1,practice,16,GREEN,incongruent,1060,999,
1,20,m,1,practice,17,BLUE,congruent,201,999,
1,20,m,1,practice,18,XXX,baseline,200,999,
1,20,m,1,practice,19,RED,congruent,201,999,
1,20,m,1,practice,20,XXXX,baseline,200,999,
1,20,m,1,practice,21,BROWN,congruent,627,999,
1,20,m,1,practice,22,BLUE,congruent,863,1,
1,20,m,1,practice,23,XXXXX,baseline,867,1,
1,20,m,1,practice,24,RED,congruent,828,1,
1,20,m,1,practice,25,XXX,baseline,905,1,
1,20,m,1,practice,26,BLUE,incongruent,1153,1,
1,20,m,1,practice,27,RED,incongruent,1037,1,
1,20,m,1,practice,28,BLUE,incongruent,349,999,
1,20,m,1,practice,29,BROWN,incongruent,1601,1,
1,20,m,1,practice,30,BROWN,congruent,200,999,
1,20,m,1,practice,31,XXX,baseline,817,1,
1,20,m,1,practice,32,XXXXX,baseline,1177,1,
1,20,m,1,practice,33,BROWN,congruent,783,1,
1,20,m,1,practice,34,GREEN,congruent,979,1,
1,20,m,1,practice,35,BLUE,congruent,627,1,
1,20,m,1,practice,36,BROWN,incongruent,1168,1,
1,20,m,1,practice,37,XXXXX,baseline,945,1,
1,20,m,1,practice,38,RED,incongruent,909,1,
1,20,m,1,practice,39,XXXXX,baseline,444,1,
1,20,m,1,practice,40,GREEN,congruent,1036,1,
1,20,m,1,practice,41,BROWN,incongruent,1354,1,
1,20,m,1,practice,42,BROWN,congruent,200,999,
1,20,m,1,practice,43,GREEN,congruent,919,1,
1,20,m,1,practice,44,RED,incongruent,790,1,
1,20,m,1,practice,45,XXXXX,baseline,469,1,
1,20,m,1,practice,46,RED,congruent,934,1,
1,20,m,1,practice,47,BLUE,incongruent,897,1,
1,20,m,1,standing,0,RED,congruent,468,1,
1,20,m,1,standing,1,GREEN,incongruent,200,999,
1,20,m,1,standing,2,RED,incongruent,202,1,
